listing_id,date
6519569,2015-08-23
6519569,2015-08-30
6519569,2015-09-11
6519569,2015-09-17
6519569,2015-09-22
6487241,2015-06-28
6487241,2015-07-01
6487241,2015-07-03
6487241,2015-07-09
6487241,2015-07-13
6487241,2015-07-21
6487241,2015-07-30
6487241,2015-08-01
6487241,2015-08-02
6487241,2015-08-09
6487241,2015-08-19
6487241,2015-08-24
6487241,2015-08-26
6487241,2015-09-01
6487241,2015-09-15
6487241,2015-09-16
6487241,2015-09-18
2553676,2015-01-08
7588424,2015-09-05
4351938,2014-11-10
4351938,2014-12-24
4351938,2015-01-03
4351938,2015-03-12
7945153,2015-09-19
3258090,2014-10-23
3258090,2014-11-27
3258090,2014-12-06
3258090,2015-02-09
3258090,2015-02-18
3258090,2015-03-16
3258090,2015-04-19
3258090,2015-07-01
3258090,2015-08-04
7387693,2015-08-09
934543,2015-01-28
4862991,2015-03-10
4862991,2015-03-23
4862991,2015-03-30
4862991,2015-04-21
4862991,2015-05-12
4862991,2015-05-18
4862991,2015-06-01
4862991,2015-06-09
4862991,2015-06-15
4862991,2015-06-29
4862991,2015-07-27
4862991,2015-08-17
4862991,2015-08-31
4862991,2015-09-07
4862991,2015-09-14
3483957,2014-09-12
3483957,2015-01-01
3483957,2015-01-02
6010171,2015-08-19
6010171,2015-09-22
3836698,2015-01-08
3836698,2015-01-09
3836698,2015-01-19
5853187,2015-05-02
5853187,2015-07-08
5853187,2015-07-26
5853187,2015-09-18
2702926,2014-09-15
2702926,2015-05-24
1264921,2015-09-21
1270967,2015-01-04
2448892,2014-05-14
2448892,2014-05-25
2448892,2014-07-29
2448892,2014-08-02
2448892,2014-08-11
2448892,2014-08-24
2448892,2014-09-13
2448892,2014-09-26
2448892,2014-10-25
2448892,2014-10-30
2448892,2014-11-07
2448892,2015-01-13
2448892,2015-01-30
2448892,2015-02-07
2448892,2015-03-14
2448892,2015-03-20
2448892,2015-07-10
2448892,2015-08-07
2448892,2015-08-14
2448892,2015-08-28
6926861,2015-08-07
6926861,2015-08-12
1665323,2013-12-15
1665323,2013-12-20
1665323,2014-01-03
1665323,2014-01-08
1665323,2014-01-13
1665323,2014-01-18
1665323,2014-02-21
1665323,2014-03-10
1665323,2014-03-18
1665323,2014-04-07
1665323,2014-04-28
1665323,2014-05-12
1665323,2014-05-26
1665323,2014-06-02
1665323,2014-07-01
1665323,2014-07-04
1665323,2014-07-15
1665323,2014-07-22
1665323,2014-08-04
1665323,2014-08-26
1665323,2014-09-28
1665323,2014-10-06
1665323,2014-10-22
1665323,2014-10-26
1665323,2014-11-02
1665323,2014-11-16
1665323,2014-12-01
1665323,2014-12-26
1665323,2014-12-31
1665323,2015-01-04
1665323,2015-01-22
1665323,2015-02-08
1665323,2015-02-18
1665323,2015-03-01
1665323,2015-04-06
1665323,2015-06-07
1665323,2015-06-15
1665323,2015-07-03
1665323,2015-07-06
1665323,2015-07-13
1665323,2015-07-19
1665323,2015-08-02
1665323,2015-08-23
1665323,2015-09-06
1665323,2015-09-13
1665323,2015-10-01
1807469,2015-09-24
4868526,2015-01-02
4868526,2015-01-05
4868526,2015-01-21
4868526,2015-02-22
4868526,2015-04-07
4287606,2015-01-02
4287606,2015-01-10
4287606,2015-04-07
4287606,2015-04-13
4287606,2015-04-18
4287606,2015-04-23
4287606,2015-05-06
4287606,2015-05-09
4287606,2015-05-12
4287606,2015-05-13
4287606,2015-05-14
4287606,2015-05-21
